"Senior Secondary Completion and Achievement Information, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
The SSCAI data is intended to provide information on the programs and pathway options offered at each school.  It is not possible to use the SSCAI to derive state-wide data.,,,,,,,,,,,,,,,,,,,,,,,,
Data is provisional as at 7 December 2024.  The VCAA accepts amendments from schools to 2024 unit results and school-based assessments until late February 2025.,,,,,,,,,,,,,,,,,,,,,,,,
"For schools with fewer than four students in VCE, VET, VPC or HES, the number of students is shown as < 4. The associated measures are listed as I/D (insufficient data).",,,,,,,,,,,,,,,,,,,,,,,,
"© Victorian Curriculum and Assessment Authority, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL IDENTIFICATION,,,SCHOOL PROGRAM,,,,,,,STUDENT COHORT,,,,,STUDENT ACHIEVEMENT,,,,,,,,,
School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Number of Higher Education studies (HES) with enrolments,Enrolment(s) in VCE Vocational Major (VM)Êunit(s)_,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in theÊInternationalÊBaccalaureate (IB) Diploma,Enrolment(s) in NorthernÊHemisphere TimetableÊ(NHT) delivery at Units 3Êand 4 levelÊ_,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Number of students enrolled in an School-based Apprenticeship or Traineeship (SBAT),Number of students enrolled in a Higher Education study (HES),Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over,Number of students awarded the Victorian Pathways Certificate (VPC),,
Chairo Christian School,,DROUIN,39,21,-,Y,,,,80,29,5,-,65,98,5,< 4,99,-,31,4.8,-,,
Chairo Christian School,*,LEONGATHA,4,3,-,,,,,10,10,-,-,-,-,-,-,86,-,I/D,I/D,-,,
Chairo Christian School,,NAR NAR GOON,36,21,12,Y,,,,94,26,< 4,9,69,98,9,-,98,100,28,4.8,-,,
Charles La Trobe P-12 College,,PRESTON,9,19,-,Y,Y,,,42,88,9,-,18,68,15,-,47,-,-,-,5,,
Charles La Trobe P-12 College,,MACLEOD WEST,30,25,-,Y,Y,,,62,68,-,-,91,91,9,< 4,78,-,24,0.0,< 4,,
Charlton College,,CHARLTON,33,17,-,Y,,,,28,23,< 4,-,56,94,6,-,49,-,30,1.6,-,,
Cheltenham Secondary College,,CHELTENHAM,62,26,2,Y,Y,,,230,57,< 4,< 4,74,99,16,9,74,I/D,28,2.1,-,,
Chisholm Institute,,FRANKSTON,26,27,-,Y,,,,63,57,-,-,32,96,23,-,84,-,24,0.0,-,,
Chisholm Institute of TAFE,,DANDENONG,30,21,-,Y,,,,152,79,< 4,-,39,88,39,-,86,-,21,0.3,-,,
Christian College Institute,,WAURN PONDS,65,26,4,Y,,,,278,93,< 4,< 4,76,98,14,< 4,99,I/D,29,5.1,-,,
Heatherton Christian College,,CLARINDA,23,7,-,,,,,53,37,-,-,60,100,-,-,99,-,28,7.8,-,,
Cire Community School,,LILYDALE,22,32,-,Y,Y,,,155,160,< 4,-,2,16,21,-,61,-,-,-,6,,
Clonard College,,HERNE HILL,54,28,6,Y,Y,,,224,99,< 4,< 4,69,100,21,< 4,88,I/D,29,5.4,< 4,,
Cobden Technical School,*,COBDEN,14,12,-,Y,Y,,,17,20,< 4,-,20,100,5,-,77,-,24,0.0,-,,
Cobram Anglican Grammar School,,COBRAM,25,17,-,,,,,37,47,< 4,-,63,100,-,< 4,83,-,26,1.1,-,,
Cobram Secondary College,,COBRAM,39,24,-,Y,Y,,,62,94,10,-,43,98,8,-,69,-,24,0.9,-,,
Coburg High School,,COBURG,61,22,2,Y,,,,266,80,< 4,< 4,83,99,13,7,78,I/D,30,8.0,-,,
Cohuna Secondary College,,COHUNA,19,13,-,Y,,,,41,22,6,-,67,100,< 4,-,82,-,28,4.2,-,,
Colac Secondary College,,COLAC,29,21,-,Y,Y,,,79,57,15,-,33,93,9,-,79,-,23,0.0,-,,
Collingwood College,,FITZROY NORTH,54,19,-,Y,Y,,,99,62,-,-,64,86,6,4,57,-,28,4.0,4,,
Community College Gippsland,,WARRAGUL,15,23,-,Y,Y,,,66,144,15,-,-,51,17,-,71,-,-,-,7,,
Copperfield College,,DELAHEY,63,34,9,Y,Y,,,395,341,< 4,11,63,92,51,5,76,100,27,2.1,-,,
Cornish College,,BANGHOLME,38,11,2,,,,,145,23,-,< 4,92,100,-,6,96,I/D,30,6.8,-,,
Corryong College,,CORRYONG,28,14,2,Y,Y,,,32,41,9,< 4,27,100,11,-,73,I/D,31,5.6,< 4,,
Covenant College,,BELL POST HILL,36,18,2,Y,,,,96,30,< 4,< 4,70,100,9,< 4,92,I/D,29,3.0,-,,
Craigieburn Secondary College,,CRAIGIEBURN,35,9,-,Y,,,,283,159,-,-,76,96,33,< 4,82,-,21,0.7,-,,
Cranbourne East Sec College,,CRANBOURNE EAST,62,43,-,Y,Y,,,404,404,5,-,61,97,117,< 4,81,-,30,3.5,13,,
